TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	PM2.5	SEASON
2	5	4.25102040816327	78.734693877551	1.68367346938776	9.5	16.24	WINTER
3	4	6.52448979591837	75.530612244898	3.16326530612245	12.4	6.26	WINTER
3	5	8.11632653061224	70.8775510204082	2.12244897959184	0.1	7.53	WINTER
3	4	3.73673469387755	94.1632653061225	0.86530612244898	23	2.36	WINTER
3	1	3.8265306122449	85.469387755102	0.357142857142857	0.2	4.63	WINTER
3	3	1.79183673469388	96.3265306122449	0.493877551020408	0.5	28.93	WINTER
5	3	-0.330612244897959	95.530612244898	0.636734693877551	13.9	17.05	WINTER
5	3	-0.230612244897959	94.1428571428571	0.646938775510204	24	4.08	WINTER
1	3	-1.3	91.6734693877551	0.236734693877551	2.7	7.98	WINTER
1	3	-0.591836734693878	90.734693877551	0.657142857142857	8.2	13.52	WINTER
1	3	-5.7530612244898	89.4489795918367	0.63265306122449	5	22.04	WINTER
1	3	-8.96632653061224	82.0714285714286	0.754166666666667	0	17.6	WINTER
5	3	-6.43979591836735	90.7244897959184	0.342857142857143	5.4	12.16	WINTER
6	4	3.10204081632653	89.1836734693878	3.88979591836735	13.8	7.62	WINTER
3	4	6.87878787878788	76.4242424242424	5.73030303030303	5.3	6.89	WINTER
2	3	-0.0521276595744681	92.6063829787234	1.22127659574468	32.9	6.09	WINTER
9	2	-6.15326086956522	88.6739130434783	0.593023255813954	0	11.81	WINTER
9	2	-6.02244897959184	82.2857142857143	0.63469387755102	0	10.69	WINTER
9	2	-0.848979591836735	74.6734693877551	0.961224489795918	0	10.43	WINTER
5	4	3.55102040816327	85.9591836734694	2.59183673469388	0.3	7.26	WINTER
9	1	1	96.5714285714286	0.257142857142857	33.5	3.36	WINTER
9	2	0.00408163265306121	82.8775510204082	0.385714285714286	0	5.9	WINTER
9	2	-1.28775510204082	62.8163265306122	1.93469387755102	1.5	15.87	WINTER
5	3	-1.93673469387755	54.0816326530612	1.5469387755102	0	14.97	WINTER
1	3	-2.90612244897959	87.530612244898	0.36530612244898	2	27.12	WINTER
1	3	-1.6530612244898	81.9591836734694	0.516326530612245	0.4	38.2	WINTER
1	3	0.548979591836735	77.1224489795918	0.53265306122449	0	27.12	WINTER
1	1	1.27755102040816	71.3877551020408	0.669387755102041	0	23.86	WINTER
1	5	5.26734693877551	72.6734693877551	1.69183673469388	0	19.77	WINTER
5	5	7.81224489795918	86.9387755102041	1.14489795918367	10	5.53	WINTER
5	5	6.66530612244898	95.1224489795918	0.389795918367347	29.8	7.62	WINTER
6	3	1.20612244897959	92.0204081632653	0.312244897959184	0.5	22.95	WINTER
9	1	3.36122448979592	67.8163265306122	0.648979591836735	0.1	25.76	WINTER
7	5	5.90408163265306	68.3877551020408	1.19591836734694	0	17.42	WINTER
7	5	6.2265306122449	77.8367346938775	0.857142857142857	0	25.76	WINTER
2	5	11.0734693877551	72.7755102040816	2.32040816326531	0	20.14	WINTER
5	5	10.6571428571429	74.3877551020408	3.68775510204082	6.8	12.34	WINTER
5	1	4.4469387755102	81.6734693877551	0.814285714285714	0.2	5.53	WINTER
5	5	9.97551020408163	66.1836734693878	1.74897959183673	0	11.79	WINTER
4	5	5.9	82.7755102040816	1.04285714285714	0.1	13.79	WINTER
4	1	10.5510204081633	71.2857142857143	1.11224489795918	0	12.61	SPRING
2	1	7.72448979591837	77.6734693877551	0.504081632653061	0.1	14.06	SPRING
2	2	5.56530612244898	88.2857142857143	0.681632653061224	11.2	4.17	SPRING
3	1	5.32040816326531	76.3673469387755	0.661224489795918	0	4.35	SPRING
2	1	9.02448979591837	72.734693877551	2.08163265306122	15.6	6.53	SPRING
9	3	0.295744680851064	95.8936170212766	0.234042553191489	15.7	7.89	SPRING
9	3	1.33469387755102	78.4285714285714	0.418367346938776	0	12.06	SPRING
6	1	4.8734693877551	67.5	0.546938775510204	0	12.06	SPRING
6	5	10.0591836734694	61.1020408163265	1.9265306122449	0.1	13.97	SPRING
5	4	12.4061224489796	68.469387755102	1.93265306122449	8.2	14.15	SPRING
7	2	4.81224489795918	86.030612244898	0.516666666666667	11.3	4.99	SPRING
4	2	5.40816326530612	80.3469387755102	0.455102040816327	1	8.71	SPRING
9	1	4.65714285714286	73.2244897959184	0.448979591836735	0	7.8	SPRING
6	5	10.0255102040816	51.765306122449	1.95833333333333	0	10.89	SPRING
5	5	12.5448979591837	60.530612244898	1.82857142857143	0	10.89	SPRING
5	5	7.78775510204082	82.7040816326531	1.00208333333333	0	8.44	SPRING
3	3	10.4734693877551	87.1224489795918	0.783673469387755	20.6	10.43	SPRING
3	3	9.41224489795918	85.4183673469388	0.28125	0.6	11.88	SPRING
2	2	9.63673469387755	72.7755102040816	0.436734693877551	0	15.24	SPRING
5	1	10.2142857142857	66.5918367346939	0.471428571428571	0	17.69	SPRING
5	1	11.2775510204082	67	0.506122448979592	0	17.96	SPRING
2	1	10.7918367346939	70.8163265306122	0.477551020408163	0	12.34	SPRING
5	1	12.5510204081633	61.9795918367347	0.659183673469388	0	11.07	SPRING
5	5	13.365306122449	57.1836734693878	0.904081632653061	0	7.62	SPRING
5	1	14.7673469387755	66.8163265306122	0.518367346938776	7.1	9.71	SPRING
5	3	11.1877551020408	94.1836734693878	0.218367346938776	16.7	5.9	SPRING
5	3	11.2448979591837	94.9795918367347	0.216326530612245	14	10.79	SPRING
5	3	8.20408163265306	94.469387755102	0.761224489795918	9.3	3.17	SPRING
9	3	4.79591836734694	94.2551020408163	0.375510204081633	7.7	2.99	SPRING
6	1	7.11632653061224	85.3265306122449	0.371428571428571	0.6	4.9	SPRING
9	1	9.27142857142857	83.6326530612245	0.659183673469388	0.3	5.44	SPRING
5	3	8.81530612244898	72.8775510204082	0.7125	0	11.88	SPRING
1	3	8.92380952380952	67.2142857142857	1.17142857142857	0	20.32	SPRING
1	3	9.21224489795918	63.7755102040816	0.904081632653061	0	27.39	SPRING
5	3	11.3673469387755	63.2244897959184	0.695918367346939	0	33.57	SPRING
1	3	8.96734693877551	71.7959183673469	0.606122448979592	0	10.89	SPRING
1	1	12.1857142857143	70.3265306122449	0.528571428571429	0	17.14	SPRING
1	1	10.5510204081633	88.4285714285714	0.479591836734694	16.1	10.61	SPRING
5	3	10.3979591836735	86.469387755102	0.602040816326531	2.1	13.97	SPRING
5	3	9.64897959183673	70.6938775510204	0.602040816326531	0	13.16	SPRING
2	5	13.7918367346939	62.8775510204082	1.29387755102041	0	16.33	SPRING
5	5	15.0632653061224	53	2.3530612244898	0	12.52	SPRING
5	5	10.7857142857143	87.9795918367347	0.491836734693878	5.6	6.26	SPRING
5	1	12.6163265306122	73.4489795918367	0.518367346938776	0	10.25	SPRING
9	5	16.5428571428571	67.1428571428571	1.40816326530612	0	13.24	SPRING
5	1	15.3510204081633	79.3265306122449	0.585714285714286	5.5	10.7	SPRING
5	1	19.0612244897959	63.9387755102041	1.4734693877551	0	17.14	SPRING
2	3	17.034693877551	68	1.29591836734694	0	11.07	SPRING
3	4	15.2102040816327	74.4897959183673	1.35510204081633	0	10.25	SPRING
3	5	16.1530612244898	71.7959183673469	1.52244897959184	0	13.15	SPRING
3	5	18.634693877551	63	2.19387755102041	0	15.42	SPRING
8	4	17.7897959183673	70.3877551020408	1.75714285714286	5.6	13.52	SPRING
8	3	7.86122448979592	95.5714285714286	0.408163265306122	40.7	3.17	SPRING
4	3	11.2612244897959	77.9387755102041	0.602040816326531	0	7.98	SPRING
8	1	15.0795918367347	68.3061224489796	0.869387755102041	0	7.98	SPRING
7	1	15.7448979591837	79.8979591836735	0.636734693877551	0	18.78	SPRING
2	1	17.2857142857143	72.6122448979592	1.94081632653061	4.8	13.43	SPRING
5	3	9.16938775510204	95.5510204081633	0.563265306122449	42.5	2.72	SPRING
4	3	2.99183673469388	96.530612244898	0.346938775510204	47.6	1.45	SPRING
9	2	7.38163265306122	77.6938775510204	0.591836734693878	1.8	3.81	SPRING
9	2	7.75102040816327	86.6734693877551	0.618367346938775	14.4	4.35	SPRING
6	3	8.95102040816326	89.265306122449	0.393877551020408	0.4	4.81	SPRING
6	2	12.0795918367347	77.6938775510204	0.695918367346939	13.5	3.72	SPRING
9	1	10.7428571428571	85.0612244897959	0.579591836734694	10.1	4.99	SPRING
9	3	8.28571428571429	92.3673469387755	0.393877551020408	4	2.54	SPRING
9	3	8.4265306122449	78.5102040816327	0.671428571428571	0.6	5.35	SPRING
6	3	9.6	72.3469387755102	0.644897959183673	0	9.98	SPRING
9	3	11.3612244897959	68.2040816326531	0.659183673469388	0	11.89	SPRING
9	2	11.2571428571429	84.4285714285714	0.56530612244898	2.2	6.62	SPRING
9	3	11.2081632653061	81.6122448979592	0.840816326530612	0	5.35	SPRING
9	3	14.0571428571429	72.5714285714286	0.571428571428571	0	11.25	SPRING
1	1	17.4224489795918	69.9795918367347	0.666666666666667	3.9	12.7	SPRING
5	1	17.1612244897959	75.3877551020408	0.514583333333333	2.5	14.73	SPRING
5	1	19.269387755102	72.9183673469388	0.626530612244898	0	16.78	SPRING
2	5	19.2408163265306	74.0408163265306	0.802040816326531	0	17.78	SPRING
2	5	21.3285714285714	63.0408163265306	1.05714285714286	0	15.87	SPRING
3	5	20.3755102040816	63.5714285714286	1.28979591836735	0	14.6	SPRING
3	5	20.934693877551	59.2857142857143	1.43265306122449	0	15.24	SPRING
3	5	22.269387755102	68.7142857142857	0.659183673469388	0	22.41	SPRING
3	5	21.4724489795918	73.2448979591837	0.691489361702128	0	25.04	SPRING
2	1	21.3795918367347	64.6530612244898	0.975510204081633	0	18.69	SPRING
5	3	19.9714285714286	78.9183673469388	0.622448979591837	0	15.97	SPRING
5	3	19.4775510204082	78.265306122449	0.577551020408163	0	16.42	SPRING
5	1	21.7673469387755	76.4489795918367	0.708163265306123	0	17.14	SPRING
5	5	22.3489795918367	65.1632653061225	0.912244897959184	0	18.23	SPRING
5	5	23.165306122449	66.0816326530612	0.73469387755102	0	22.31	SPRING
5	1	22.6775510204082	71.1632653061225	0.6	0	17.33	SPRING
5	3	22.1122448979592	80.8571428571429	0.869387755102041	0.9	15.78	SPRING
5	3	18.7224489795918	75.2448979591837	0.661224489795918	0.1	8.5	SPRING
6	3	18.6551020408163	69.8163265306122	0.875510204081633	0.1	9.98	SPRING
9	3	16.1285714285714	86.530612244898	0.8	2.4	9.62	SPRING
5	3	15.6163265306122	89.7551020408163	0.585714285714286	0.7	10.52	SPRING
1	3	14.8918367346939	76.2244897959184	0.779591836734694	0	15.51	SPRING
1	3	16.0755102040816	67.5102040816327	0.814285714285714	0	18.69	SPRING
1	1	20.7448979591837	60.0204081632653	1.10416666666667	0.5	15.87	SPRING
7	1	19.6795918367347	74.4489795918367	0.824489795918367	6.6	12.43	SPRING
7	3	17.4081632653061	81.2040816326531	0.361224489795918	0.7	10.7	SPRING
5	1	18.9102040816327	72.4285714285714	0.604081632653061	0	15.15	SPRING
5	1	18.0591836734694	69.9795918367347	0.575510204081633	0	13.97	SPRING
