TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	O3_max	SEASON
d	d	c	c	c	c	d	d
						class
1	3	2.88571428571429	61.5918367346939	0.620408163265306	0	MODERATE	WINTER
1	3	2.69591836734694	62	0.630612244897959	0	MODERATE	WINTER
1	3	1.27755102040816	60.2244897959184	0.4875	0	MODERATE	WINTER
1	3	1.41224489795918	62.9387755102041	0.367441860465116	0	MODERATE	WINTER
1	3	3.33877551020408	59.9591836734694	0.371428571428571	0	HIGH	WINTER
1	1	5.64081632653061	55.3673469387755	0.441463414634146	0	HIGH	WINTER
9	1	7.44897959183673	55.2857142857143	0.352272727272727	0	HIGH	WINTER
5	1	7.18775510204082	58.469387755102	0.361702127659574	0	HIGH	SPRING
5	3	8.8734693877551	59.7959183673469	0.409756097560976	0	HIGH	SPRING
9	3	10.8367346938776	52.9387755102041	0.758974358974359	0	HIGH	SPRING
5	3	8.23469387755102	59.6734693877551	0.871794871794872	0	MODERATE	SPRING
5	3	4.49591836734694	76.2040816326531	0.4425	2.1	MODERATE	SPRING
1	3	2.89183673469388	57.7959183673469	0.485365853658537	0	MODERATE	SPRING
1	3	1.83673469387755	62.1224489795918	0.595238095238095	0	MODERATE	SPRING
1	1	3.57142857142857	69.3877551020408	0.416666666666667	19.9	MODERATE	SPRING
1	3	0.675510204081633	94.6530612244898	0.0673469387755102	38.4	MODERATE	SPRING
1	3	1.63061224489796	93.1428571428571	0.138775510204082	2.1	MODERATE	SPRING
5	3	2.23469387755102	94.9795918367347	0.110204081632653	25.9	LOW	SPRING
5	3	3.05813953488372	96.953488372093	0.193023255813953	35	LOW	SPRING
3	4	5.3265306122449	87.3877551020408	0.361224489795918	16.5	MODERATE	SPRING
3	5	7.25714285714286	77.0816326530612	0.944897959183673	3.3	HIGH	SPRING
3	3	7.94897959183673	88.6938775510204	0.320408163265306	2.5	MODERATE	SPRING
5	3	6.0530612244898	88.1632653061225	0.253061224489796	0.4	MODERATE	SPRING
6	3	6.42857142857143	88.3061224489796	0.244897959183673	9.8	MODERATE	SPRING
9	2	7.40408163265306	87.8775510204082	0.26734693877551	5.2	MODERATE	SPRING
9	3	8.1	86.7755102040816	0.155102040816327	0	MODERATE	SPRING
7	3	9.91632653061225	82.4897959183673	0.444897959183673	26	MODERATE	SPRING
2	2	10.7510204081633	80.8367346938775	0.397959183673469	17.9	MODERATE	SPRING
9	3	11.4702127659574	79.2553191489362	0.317021276595745	2.9	MODERATE	SPRING
1	1	9.09387755102041	75.9387755102041	0.31875	1.5	HIGH	SPRING
5	2	7.64489795918367	88.7142857142857	0.295918367346939	6.4	MODERATE	SPRING
4	2	8.44081632653061	71.5510204081633	0.306122448979592	0	MODERATE	SPRING
9	5	13.569387755102	55.1224489795918	1.85510204081633	0	LOW	SPRING
5	5	4.02916666666667	92.1875	0.26734693877551	36.8	MODERATE	SPRING
8	5	12.2	48.2857142857143	1.73673469387755	0	MODERATE	SPRING
5	5	10.6877551020408	77.3061224489796	1.30816326530612	8.4	MODERATE	SPRING
3	1	9.11041666666667	78.5625	0.373469387755102	0.1	MODERATE	SPRING
2	5	13.8142857142857	61.530612244898	1.83673469387755	0	HIGH	SPRING
