TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	PM10	SEASON
d	d	c	c	c	c	d	d
						class
4	2	-3.09591836734694	88.4489795918367	0.0877551020408163	0	LOW	WINTER
8	1	1.74081632653061	80.3673469387755	0.46530612244898	4.8	LOW	WINTER
4	1	-1.22040816326531	89.265306122449	0.183673469387755	0	LOW	WINTER
8	2	-0.222448979591837	83.5918367346939	0.483673469387755	0	LOW	WINTER
8	5	-0.724489795918367	83.4285714285714	0.161224489795918	0	LOW	WINTER
4	1	0.414285714285714	85.5714285714286	0.371428571428571	0	LOW	WINTER
8	5	-0.169387755102041	85.9387755102041	0.16734693877551	0	LOW	WINTER
4	5	6.68979591836735	65.5510204081633	2.06938775510204	0	LOW	WINTER
3	5	2.33061224489796	81.3469387755102	0.744897959183674	0	LOW	WINTER
3	1	0.0291666666666667	86.1666666666667	0.277083333333333	0	LOW	WINTER
2	2	-1.03673469387755	86.2244897959184	0.216326530612245	0	LOW	WINTER
2	1	-1.24897959183673	83.7755102040816	0.120408163265306	0	LOW	WINTER
2	1	1.66530612244898	79.8571428571429	0.259183673469388	0	LOW	WINTER
2	1	-1.87755102040816	84.3265306122449	0.271428571428571	0	LOW	WINTER
3	2	-4.17142857142857	79.5714285714286	0.285714285714286	0	LOW	WINTER
6	3	-6.18367346938776	82.7755102040816	0.375510204081633	0	LOW	WINTER
6	1	-6.91020408163265	78.6734693877551	0.140816326530612	0	LOW	WINTER
6	1	0.559183673469388	80.1836734693878	1.00816326530612	221.3	LOW	WINTER
7	1	-4.30408163265306	92.6326530612245	0.159183673469388	432.3	LOW	WINTER
8	1	-0.548979591836735	83.5102040816327	1.25510204081633	0	LOW	WINTER
7	5	0.881632653061224	84.3673469387755	0.861224489795918	0	LOW	WINTER
4	2	-3.07142857142857	70.1020408163265	0.228571428571429	0	LOW	WINTER
8	1	-0.289795918367347	81.1428571428571	0.371428571428571	1.7	LOW	WINTER
4	3	-2.74081632653061	92.469387755102	0.448979591836735	14.3	LOW	WINTER
6	2	-4.79795918367347	84.6734693877551	1.35102040816327	130.3	LOW	WINTER
6	3	-5.89387755102041	87.1632653061225	0.518367346938776	279.6	LOW	WINTER
9	3	-6.9734693877551	80.0816326530612	0.736734693877551	413.4	LOW	WINTER
9	3	-8.51956521739131	83.7608695652174	0.717391304347826	3	LOW	WINTER
1	3	-13.3979591836735	83.7755102040816	0.426530612244898	1.3	LOW	WINTER
6	2	-15.7979166666667	77.0833333333333	0.166666666666667	0.2	LOW	WINTER
5	1	-4.66326530612245	79.530612244898	0.238775510204082	0	LOW	WINTER
7	2	-5.95510204081633	81.9795918367347	0.306122448979592	0	LOW	WINTER
9	2	-1.68367346938776	77.6734693877551	0.242857142857143	0.7	LOW	WINTER
6	3	-0.930612244897959	87.5918367346939	0.385714285714286	1.9	LOW	WINTER
6	3	-3.69183673469388	77.2040816326531	0.677551020408163	0	LOW	WINTER
6	3	-4.92448979591837	76.2040816326531	0.783673469387755	0	LOW	WINTER
5	3	-11.7	76.8163265306122	0.436734693877551	0	MODERATE	WINTER
1	3	-15.3604166666667	74.625	0.320833333333333	0	MODERATE	WINTER
5	3	-13.8326530612245	72.4081632653061	0.275510204081633	0	HIGH	WINTER
1	3	-14.0040816326531	68.4489795918367	0.328571428571429	0	HIGH	WINTER
1	1	-4.27755102040816	61.5918367346939	0.220408163265306	0	LOW	WINTER
1	5	3.72244897959184	62.8979591836735	1.16938775510204	0	LOW	WINTER
2	4	5.71836734693878	80.3265306122449	3.12857142857143	4.5	LOW	WINTER
2	4	1.78775510204082	93.7551020408163	0.640816326530612	1	LOW	WINTER
5	3	-0.234042553191489	83.5744680851064	0.84468085106383	2	LOW	WINTER
4	2	-1.67959183673469	71.265306122449	0.820408163265306	0.1	LOW	WINTER
6	2	-1.18775510204082	77.2857142857143	0.818367346938776	2.4	LOW	WINTER
9	3	-2.7	91.1020408163265	0.204081632653061	1.8	LOW	WINTER
1	3	-4.92244897959184	83.4897959183673	0.202040816326531	0	LOW	WINTER
1	1	-2.9530612244898	81.469387755102	0.326530612244898	0	LOW	WINTER
1	3	-2.59183673469388	85.1632653061225	0.859183673469388	8.5	LOW	WINTER
5	3	-3.60204081632653	91.5102040816327	0.253061224489796	27.9	LOW	WINTER
5	5	-1.55714285714286	91.8367346938775	0.275510204081633	1.7	LOW	WINTER
5	5	-2.07755102040816	92.4081632653061	0.328571428571429	12.8	LOW	WINTER
5	1	-0.755102040816326	89.2857142857143	0.340816326530612	2.6	LOW	WINTER
5	3	-1.07959183673469	93.2448979591837	0.348979591836735	3	LOW	WINTER
5	3	-2.38571428571429	92.1836734693878	0.918367346938776	4.2	LOW	WINTER
5	3	-7.66326530612245	77.1428571428571	0.659183673469388	0.5	LOW	WINTER
1	3	-13.8632653061224	66.469387755102	0.761224489795918	0	LOW	WINTER
6	3	-15.9122448979592	67.8979591836735	0.624489795918367	0	LOW	WINTER
1	3	-15.2958333333333	66.8541666666667	0.45625	0	LOW	WINTER
5	1	-3.67959183673469	78.0612244897959	0.593877551020408	15	LOW	WINTER
5	3	-2.82040816326531	87.8571428571429	0.412244897959184	0.8	HIGH	WINTER
2	3	-8.49183673469388	83.1224489795918	0.242857142857143	1.1	MODERATE	WINTER
5	3	-9.1530612244898	75.7959183673469	0.308163265306122	0	MODERATE	WINTER
5	3	-8.14285714285714	67.3673469387755	0.408163265306122	0	LOW	WINTER
5	1	-2.68163265306122	67.6530612244898	0.293877551020408	0	LOW	WINTER
5	1	1.9469387755102	68.4897959183673	0.424489795918367	0.2	LOW	WINTER
